baris_exhibit1a,status_doc547,source_id,sumber_kerja,catatan
74,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
75,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
76,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
77,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
78,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
79,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
80,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
81,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
82,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
83,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
84,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
85,TERPETAKAN_RESOLUSI_INTERNAL_QA_PENDING,SRC-001,Document 547 Galloway.md,"Mapping diselesaikan dari konsistensi internal Document 547; isi verbatim tetap privat"
86,TERPETAKAN_RESOLUSI_INTERNAL_QA_PENDING,SRC-001,Document 547 Galloway.md,"Mapping diselesaikan dari konsistensi internal Document 547; isi verbatim tetap privat"
87,TERPETAKAN_RESOLUSI_INTERNAL_QA_PENDING,SRC-001,Document 547 Galloway.md,"Mapping diselesaikan dari konsistensi internal Document 547; isi verbatim tetap privat"
88,TERPETAKAN_RESOLUSI_INTERNAL_QA_PENDING,SRC-001,Document 547 Galloway.md,"Mapping diselesaikan dari konsistensi internal Document 547; isi verbatim tetap privat"
89,TERPETAKAN_RESOLUSI_INTERNAL_QA_PENDING,SRC-001,Document 547 Galloway.md,"Mapping diselesaikan dari konsistensi internal Document 547; isi verbatim tetap privat"
90,TERPETAKAN_RESOLUSI_INTERNAL_QA_PENDING,SRC-001,Document 547 Galloway.md,"Mapping diselesaikan dari konsistensi internal Document 547; isi verbatim tetap privat"
91,TERPETAKAN_RESOLUSI_INTERNAL_QA_PENDING,SRC-001,Document 547 Galloway.md,"Mapping diselesaikan dari konsistensi internal Document 547; isi verbatim tetap privat"
92,TERPETAKAN_RESOLUSI_INTERNAL_QA_PENDING,SRC-001,Document 547 Galloway.md,"Mapping diselesaikan dari konsistensi internal Document 547; isi verbatim tetap privat"
93,TERPETAKAN_RESOLUSI_INTERNAL_QA_PENDING,SRC-001,Document 547 Galloway.md,"Mapping diselesaikan dari konsistensi internal Document 547; isi verbatim tetap privat"
94,TERPETAKAN_RESOLUSI_INTERNAL_QA_PENDING,SRC-001,Document 547 Galloway.md,"Mapping diselesaikan dari konsistensi internal Document 547; isi verbatim tetap privat"
95,TERPETAKAN_RESOLUSI_INTERNAL_QA_PENDING,SRC-001,Document 547 Galloway.md,"Mapping diselesaikan dari konsistensi internal Document 547; isi verbatim tetap privat"
96,TERPETAKAN_RESOLUSI_INTERNAL_QA_PENDING,SRC-001,Document 547 Galloway.md,"Mapping diselesaikan dari konsistensi internal Document 547; isi verbatim tetap privat"
97,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
98,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
99,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
100,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
101,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
102,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
103,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
104,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
105,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
106,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
107,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
108,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
109,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
110,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
111,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
112,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
113,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
114,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
115,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
116,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_TYPO_117_117"
117,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_TYPO_117_117"
118,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
119,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
120,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
121,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
122,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
123,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
124,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
125,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
126,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
127,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
128,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
129,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
130,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
131,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
132,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
133,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
134,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
135,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
136,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
137,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
138,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
139,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
140,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
141,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
142,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
143,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
144,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
145,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
146,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
147,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
148,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
149,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
150,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
151,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
152,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
153,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
154,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
155,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
156,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
157,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
158,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
159,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
160,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
161,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
162,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
163,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
164,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
165,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
166,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
167,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
168,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_PENANDA_SKIP"
169,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_PENANDA_SKIP"
170,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_PENANDA_SKIP"
171,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_PENANDA_SKIP"
172,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_PENANDA_SKIP"
173,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_PENANDA_SKIP"
174,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_PENANDA_SKIP"
175,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_PENANDA_SKIP"
176,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
177,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
178,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
179,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
180,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
181,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
182,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
183,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
184,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
185,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
186,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
187,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
188,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
189,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
190,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
191,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
192,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
193,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
194,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
195,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
196,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
197,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
198,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
199,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
200,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
201,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
202,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
203,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
204,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
205,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
206,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
207,TERPETAKAN_UNAMBIGU_QA_PENDING,SRC-001,Document 547 Galloway.md,"Isi verbatim tetap di workspace privat"
208,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_JUMLAH_PESAN"
209,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_JUMLAH_PESAN"
210,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_JUMLAH_PESAN"
211,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_JUMLAH_PESAN"
212,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_JUMLAH_PESAN"
213,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_JUMLAH_PESAN"
214,BELUM_TERPETAKAN,SRC-001,Document 547 Galloway.md,"AMBIGU_JUMLAH_PESAN"
