conversation_id	timestamp	sender_id	recipient_id	message_text
KONV-CTX-DINI-0713	2026-07-13T12:20:26+07:00	AKT-RAKA	AKT-DINI	Yang kemarin kuselipkan di map biru.
KONV-CTX-DINI-0713	2026-07-13T12:23:51+07:00	AKT-DINI	AKT-RAKA	Mapnya ada, tapi bon parkir terakhir nggak masuk.
KONV-CTX-DINI-0713	2026-07-13T12:27:12+07:00	AKT-RAKA	AKT-DINI	Mungkin masih di saku jaketku. Cek nanti saja.
KONV-CTX-DINI-0713	2026-07-13T12:30:39+07:00	AKT-DINI	AKT-RAKA	Nggak mendesak kok, aku cuma takut tercampur.
KONV-CTX-DINI-0713	2026-07-13T12:35:18+07:00	AKT-RAKA	AKT-DINI	Jaketnya kugantung dekat rak sepatu.
KONV-CTX-DINI-0713	2026-07-13T12:38:07+07:00	AKT-DINI	AKT-RAKA	Ada kertas kecil di saku kanan. Kayaknya ini.
KONV-CTX-DINI-0713	2026-07-13T12:41:44+07:00	AKT-RAKA	AKT-DINI	Kalau tanggalnya kemarin, iya itu bonnya.
KONV-CTX-DINI-0713	2026-07-13T12:45:25+07:00	AKT-DINI	AKT-RAKA	Cocok. Kupisah pakai klip biar gampang dicari.
KONV-CTX-DINI-0713	2026-07-13T12:49:13+07:00	AKT-RAKA	AKT-DINI	Oke, nanti map birunya kutaruh lagi di lemari.
KONV-CTX-BAGAS-0716	2026-07-16T11:03:08+07:00	AKT-BAGAS	AKT-RAKA	Payung hitam yang panjang punya siapa?
KONV-CTX-BAGAS-0716	2026-07-16T11:05:42+07:00	AKT-RAKA	AKT-BAGAS	Kayaknya punyaku. Gagangnya agak retak?
KONV-CTX-BAGAS-0716	2026-07-16T11:08:31+07:00	AKT-BAGAS	AKT-RAKA	Iya, ada lakban di dekat ujung.
KONV-CTX-BAGAS-0716	2026-07-16T11:12:19+07:00	AKT-RAKA	AKT-BAGAS	Itu. Tadi kupikir ketinggalan di mobil.
KONV-CTX-BAGAS-0716	2026-07-16T11:15:49+07:00	AKT-BAGAS	AKT-RAKA	Aku simpan di pojok, nggak kubawa pergi.
KONV-CTX-BAGAS-0716	2026-07-16T11:18:36+07:00	AKT-RAKA	AKT-BAGAS	Kalau hujan pakai aja dulu, nanti balikinnya belakangan.
KONV-CTX-BAGAS-0716	2026-07-16T11:22:14+07:00	AKT-BAGAS	AKT-RAKA	Di sini baru mendung, belum turun.
KONV-CTX-BAGAS-0716	2026-07-16T11:26:02+07:00	AKT-RAKA	AKT-BAGAS	Oke. Aku nggak jadi ambil sekarang.
KONV-CTX-BAGAS-0716	2026-07-16T11:29:41+07:00	AKT-BAGAS	AKT-RAKA	Kalau sore cari di rak bawah, ya.
KONV-CTX-BAGAS-0716	2026-07-16T11:33:17+07:00	AKT-RAKA	AKT-BAGAS	Siap, jangan taruh dekat pintu yang bocor.
KONV-CTX-CACA-0719	2026-07-19T10:03:15+07:00	AKT-CACA	AKT-RAKA	Dua soda yang tadi satu sudah habis.
KONV-CTX-CACA-0719	2026-07-19T10:05:48+07:00	AKT-RAKA	AKT-CACA	Cepat banget. Tadi kan ukurannya besar.
KONV-CTX-CACA-0719	2026-07-19T10:08:37+07:00	AKT-CACA	AKT-RAKA	Dipakai beberapa orang, esnya juga habis.
KONV-CTX-CACA-0719	2026-07-19T10:12:19+07:00	AKT-RAKA	AKT-CACA	Masih ada air botol kecil di tas belanja.
KONV-CTX-CACA-0719	2026-07-19T10:16:07+07:00	AKT-CACA	AKT-RAKA	Kutemukan tiga. Kutaruh di kulkas.
KONV-CTX-CACA-0719	2026-07-19T10:19:54+07:00	AKT-RAKA	AKT-CACA	Sisakan satu di meja buat yang belum minum.
KONV-CTX-CACA-0719	2026-07-19T10:23:31+07:00	AKT-CACA	AKT-RAKA	Oke, yang tutup biru kutaruh luar.
KONV-CTX-CACA-0719	2026-07-19T10:27:05+07:00	AKT-RAKA	AKT-CACA	Sikat gigi yang tiga sudah kebagi juga?
KONV-CTX-CACA-0719	2026-07-19T10:30:18+07:00	AKT-CACA	AKT-RAKA	Masih di plastik. Aku nggak tahu yang mana punya siapa.
KONV-CTX-CACA-0719	2026-07-19T10:33:42+07:00	AKT-RAKA	AKT-CACA	Biar mereka pilih sendiri nanti. Jangan dibuka dulu.
